type	latitude	longitude	altitude (m)	eos	color	opacity	name	desc	kml_folder
T	-1.099013413	37.012342211	1520.8						
T	-1.099034631	37.012316627	1520.8						
T	-1.099047361	37.012299569	1520.8						
T	-1.099060098	37.012286774	1520.7						
T	-1.099077071	37.012261182	1520.7						
T	-1.099098293	37.012231319	1520.7						
T	-1.099119525	37.012205717	1520.6						
T	-1.099140756	37.012175843	1520.6						
T	-1.099162009	37.012163038	1520.6						
T	-1.099191767	37.012145964	1520.6						
T	-1.099208782	37.012145964	1520.6						
T	-1.099208806	37.012171575	1520.6						
T	-1.099208841	37.012209984	1520.7						
T	-1.099191842	37.012222785	1520.7						
T	-1.099174854	37.012244118	1520.7						
T	-1.099153620	37.012269713	1520.7						
T	-1.099119649	37.012308098	1520.8						
T	-1.099094201	37.012355001	1520.8						
T	-1.099068731	37.012380578	1520.9						
T	-1.099051771	37.012410413	1520.9						
T	-1.099043326	37.012448763	1520.9						
T	-1.099034871	37.012478585	1521.0						
T	-1.099022195	37.012525437	1521.0						
T	-1.099018045	37.012589302	1521.1						
T	-1.099013850	37.012623353	1521.2						
T	-1.099005376	37.012636121	1521.2						
T	-1.099001163	37.012657397	1521.3						
T	-1.098992717	37.012687179	1521.3						
T	-1.098975796	37.012725462	1521.4						
T	-1.098967376	37.012767988	1521.5						
T	-1.098963189	37.012802000	1521.5						
T	-1.098950514	37.012836005	1521.6						
T	-1.098942109	37.012882749	1521.7						
T	-1.098937972	37.012942222	1521.8						
T	-1.098933737	37.012946469	1521.8						
T	-1.098925345	37.013005913	1522.0						
T	-1.098925353	37.013014402	1522.0						
T	-1.098921213	37.013120489	1522.2						
T	-1.098916991	37.013137460	1522.2						
T	-1.098917031	37.013179882	1522.3						
T	-1.098917098	37.013251986	1522.4						
T	-1.098917172	37.013307109	1522.5						
T	-1.098912992	37.013336780	1522.6						
T	-1.098908789	37.013357973	1522.6						
T	-1.098900351	37.013383400	1522.6						
T	-1.098891910	37.013404587	1522.7						
T	-1.098883470	37.013425771	1522.7						
T	-1.098879269	37.013455430	1522.7						
T	-1.098866614	37.013489314	1522.7						
T	-1.098862424	37.013527438	1522.7						
T	-1.098875141	37.013557103	1522.7						
T	-1.098854041	37.013599431	1522.7						
T	-1.098854018	37.013650299	1522.7						
T	-1.098853930	37.013692744	1522.7						
T	-1.098849640	37.013722455	1522.7						
T	-1.098849577	37.013756418	1522.7						
T	-1.098853815	37.013777614	1522.7						
T	-1.098870769	37.013781853	1522.7						
T	-1.098921629	37.013764896	1522.6						
T	-1.098938583	37.013739461	1522.6						
T	-1.098947059	37.013718265	1522.6						
T	-1.098951298	37.013692831	1522.6						
T	-1.098951298	37.013663157	1522.6						
T	-1.098951321	37.013637704	1522.6						
T	-1.098951337	37.013620736	1522.6						
T	-1.098955549	37.013599561	1522.6						
T	-1.098955535	37.013582615	1522.6						
T	-1.098955505	37.013548720	1522.6						
T	-1.098955487	37.013527534	1522.6						
T	-1.098955446	37.013480920	1522.5						
T	-1.098955417	37.013447015	1522.5						
T	-1.098959627	37.013421586	1522.5						
T	-1.098963830	37.013387677	1522.5						
T	-1.098968034	37.013353762	1522.5						
T	-1.098968005	37.013319842	1522.5						
T	-1.098967984	37.013294399	1522.4						
T	-1.098972178	37.013251991	1522.3						
T	-1.098972146	37.013213817	1522.3						
T	-1.098972135	37.013201091	1522.2						
